Name,UserID,Position,Matches Played,Goals,Assists,goalsConceded,Saves,Passes,Interceptions,Tackles
yellow,807016178781519893,nA,0,0,0,0,0,0,0,0
e,1296616744756056158,nA,0,0,0,0,0,0,0,0
